k,x1,x2,f,grad_norm,error
47,2.7687440125464704,0.45984877124073625,0.0029531881570078354,0.11968095568272653,0.2347156852534269
48,2.769686727936129,0.46346804065400604,0.00293737562040929,0.15122084835123947,0.23319259710038848
49,2.770797824312217,0.46138275640627346,0.0027660394831983954,0.05257160999116918,0.23243263291283028
50,2.776192914831135,0.4651346852181383,0.002722573135457949,0.19038287060952,0.22650651546174555
51,2.7773502903409604,0.4623943358785705,0.0024663776390251198,0.05234729092433266,0.2258031868359444
52,2.7797366035273794,0.4646325421807236,0.0024187405786141765,0.11320959967442057,0.22308478410293509
53,2.781576055496612,0.4616105485968628,0.00241806448884965,0.14406423323309575,0.22177188620619376
54,2.781855081138921,0.46384419183100695,0.0022660064082220617,0.04628076813123947,0.22112089021451528
55,2.7846015666472788,0.4629366394456666,0.002201378382201234,0.08772577607818063,0.2185638986346721
56,2.785414424799153,0.46555478818564633,0.0021829595746345604,0.10992512324007804,0.21733256014967947
57,2.7862793102681884,0.4640708561266354,0.0020897836463458852,0.04176078223510895,0.2167197189895608
58,2.7906967769832027,0.46685211638919927,0.0020276181899366143,0.1375862355195393,0.21191182447681953
59,2.79159534464612,0.4648991311357006,0.0018912245434369729,0.04133851871073681,0.2113399426710393
60,2.7935831587349873,0.4665495495096379,0.001848085572264684,0.08291035057630854,0.20910964826098677
61,2.7950396662153896,0.46440674763857287,0.0018386800073441352,0.10462075054133528,0.20802792610311518
62,2.7953090746439835,0.46601909396056396,0.001756122633918322,0.03719377745565594,0.20749235383108292
63,2.799798555490795,0.46481086028146357,0.0017259950700394607,0.13159894896794944,0.20327049450843304
64,2.799958399290558,0.46686087161934114,0.0016027880777841905,0.03735508557994264,0.20276795566416694
65,2.802110501374638,0.46595574880022467,0.001574178952527571,0.07865750830878925,0.20079657543382182
66,2.802680676209313,0.4683467520152084,0.001570685219281072,0.0997901886566471,0.19984204674992864
67,2.8033920842810263,0.46695928278734516,0.0014968614721246898,0.03348797015373992,0.1993648953985774
68,2.806782894690596,0.46941386412277825,0.0014878372999835117,0.12600878943290716,0.1956230085957304
69,2.807536862827551,0.4675950597391395,0.0013759812870996755,0.03407692712718999,0.1951720761880932
70,2.8090733575072706,0.46906993803367514,0.0013574025663465822,0.07483719025676862,0.1934157479286193
71,2.809675418817572,0.4680675122784038,0.0013137518315613865,0.029311995776339108,0.1929847920805069
72,2.8128049386445,0.46997302999912727,0.0012774076168470471,0.09352906239865477,0.1895880004729272
73,2.8134347079151016,0.46865429724595287,0.001213776828098572,0.029238490981261484,0.18918023493977515
74,2.8148695186170083,0.4697859905754912,0.0011894537435731675,0.05678291514307002,0.1875798003586808
75,2.8159030491226686,0.4683435812620142,0.001182770310903878,0.071344518010096,0.1867988655469975
76,2.816110460092721,0.46943887405274864,0.0011437520705451392,0.02666714236260022,0.18641176278999816
77,2.8193503019102364,0.46865469771709223,0.0011200862124835615,0.08949292346100655,0.18334896071461546
78,2.8194868219766636,0.47004634439353277,0.0010624087775464336,0.026845764319845398,0.18298149885787796
79,2.8210562333369613,0.469452911105133,0.001044161116318937,0.05397801026598905,0.1815323559796075
80,2.8215013023404345,0.47107994861994434,0.0010399577084134828,0.06810745655526786,0.18082631013761807
81,2.822012332454749,0.47014650061133845,0.0010048821111049366,0.024424326796623767,0.1804739350264952
82,2.824548290186432,0.47184649379141563,0.000990261395472842,0.08569268326469,0.17769615186700394
83,2.8250899351448218,0.470621992686029,0.0009378082330966857,0.02479539748346225,0.17736008034893982
84,2.8262579668797945,0.47164047695751465,0.000924063821041302,0.051409520188114226,0.1760413491766632
85,2.8271376013219456,0.4702961413830296,0.0009216362694401918,0.06509245848589304,0.1753959181208833
86,2.8272929135408473,0.47130128257498605,0.0008899589375019092,0.02250002329073935,0.1750752812222503
87,2.8299973398561726,0.4705291097113826,0.0008818112624231045,0.08209229240798903,0.17253822136089556
88,2.8300912079714315,0.4718083625091095,0.0008339950539591951,0.023016886194495916,0.17223172191273334
89,2.831412352984523,0.4712391371966905,0.0008236191588038361,0.04902935774652964,0.17102333745838838
90,2.8317627028088554,0.4727307108733331,0.0008224632638610299,0.062257567115715624,0.17043298476426225
91,2.832204736186163,0.47186416791749375,0.0007937579805870199,0.02083083726683254,0.17013781356691438
92,2.8343119628634548,0.47339376093929464,0.0007902509584810806,0.07867415810416761,0.1678106599924945
93,2.834785328893178,0.47225927291948594,0.0007465776179649763,0.02145842890365855,0.16752741712296196
94,2.835759037742137,0.47318154145168273,0.0007387459843187215,0.04681335193792231,0.1664161152121291
95,2.836520977845579,0.4719327123386979,0.0007384992148923044,0.05958655299817298,0.16587092367629713
96,2.836640145897398,0.4728560943037088,0.0007124126157543954,0.019369594179584573,0.1655996182026773
97,2.838943997508911,0.47211146441642704,0.0007122118586385105,0.07541735879100969,0.1634527649059687
98,2.839008999504632,0.4732880664808674,0.0006722655592177547,0.02007959736002834,0.1631920023555998
99,2.8401420697298634,0.4727485169454382,0.0006663649956989966,0.0447342317951156,0.16216411809930373
100,2.8402832956487063,0.4734330734561696,0.0006508301133603093,0.017344710132382094,0.16191117081543152
101,2.8423992226180474,0.47296035582370277,0.0006384290760529835,0.05601003905247924,0.15990355652260063
102,2.8424989691845255,0.47382980976292105,0.0006155964425699769,0.017559180590529185,0.15966043205810873
103,2.843535720630526,0.47346989271817036,0.0006067014586566645,0.034063386068397254,0.1586975655484172
104,2.8438447494964545,0.47448852933873437,0.0006041280284626583,0.04277703929336574,0.1582254638012658
105,2.844179185438989,0.47390982436324347,0.0005900432753290945,0.016192443166955464,0.15798994751316858
106,2.8458908001491023,0.4749901832525355,0.0005804505853182898,0.05366051708774829,0.1561253868287463
107,2.8462461244331347,0.4742307521213897,0.0005596039958210603,0.016466609832313978,0.15589839122986596
108,2.8470471181476866,0.47487696089998715,0.0005522112261163863,0.03251996084106175,0.15500242307960385
109,2.847632817232548,0.4740464681803986,0.0005502208080383419,0.0409302060135247,0.15456178116986505
110,2.847749086959159,0.4746753447085529,0.0005374199843685999,0.015165154157451888,0.15434273124251882
111,2.849589446286717,0.4742208727703149,0.0005299987555811639,0.05142232869885524,0.15260372888321153
112,2.849668864003085,0.4750204120824701,0.0005109409213113379,0.015485068971796688,0.15239235631307949
113,2.8505749153293203,0.4746802057136685,0.0005047515955447374,0.031069476189801704,0.15155509859962465
114,2.8508361029841987,0.47561533610640955,0.0005032128765138162,0.039179304131152705,0.15114390495863195
115,2.851132780101192,0.47507985229623606,0.0004915571085518362,0.014243576144311612,0.1509386064662633
116,2.852618920182967,0.4760603517818993,0.00048582125254937225,0.04928893672812145,0.1493127236535491
117,2.852935975596322,0.47535850356156883,0.00046837906572391215,0.014598316326412156,0.14911415298532474
118,2.853633025147457,0.47594721923175054,0.00046316110138302396,0.029704014404335056,0.14833013041917836
119,2.854153126080521,0.47517836039060823,0.0004619733214094918,0.03751870166962654,0.14794399083769158
120,2.8542506805987347,0.4757564160912716,0.00045134211344353503,0.013412476344988706,0.14775187127976286
121,2.8558707010787447,0.4753246921679294,0.00044691449866929967,0.047251504920097505,0.14622628226191076
122,2.8559352486172536,0.4760601699312734,0.0004309368850911875,0.013792805384857991,0.14604029599631757
123,2.8567359734549402,0.4757408417034832,0.0004265067668827198,0.02841320532713872,0.1453034344506662
124,2.85696034502287,0.4765999379162486,0.00042559144340177223,0.035938439693174486,0.14494104250176948
125,2.857225737624487,0.4761050724522571,0.0004158818179883471,0.012659114144920616,0.14475999985971166
126,2.858532102158353,0.47699802681867376,0.0004124711602450466,0.04530533545371786,0.143325702126203
127,2.858817055278163,0.47635001580235703,0.00039782352706164113,0.01305777178946426,0.1431500807994114
128,2.859430971854025,0.4768877361503727,0.00039403654620480324,0.02719188063321636,0.14245640882093974
129,2.859896636548576,0.47617694425729346,0.00039333283489827756,0.034434717248694395,0.14211435689374208
130,2.859979923845884,0.4767085013206963,0.00038445388984852585,0.011973265147249603,0.14194405812478553
131,2.861420285189033,0.4763018752032556,0.0003818316995178797,0.0434438059127884,0.140591388342142
132,2.861473836102116,0.4769785690725367,0.0003683949052569018,0.012384038512095512,0.14042608150272992
133,2.862188095282939,0.4766803853227087,0.0003651349866868195,0.026032721344401936,0.13977097520745008
134,2.8623836513713825,0.47747005407771625,0.0003645950452471321,0.033000259312911076,0.13944840577480339
135,2.862622685787434,0.4770131778724197,0.0003564677761242166,0.011346205937852145,0.13928718696198555
136,2.863783109647963,0.47782860570179364,0.00035445624345877854,0.041663260909565104,0.13800946323461097
137,2.8640407204164853,0.47723075734626885,0.0003421230457021974,0.011764222293717302,0.13785268991170543
138,2.8645869976696234,0.477722889600423,0.00033929756731582915,0.024932126334598535,0.13723319878178716
